HGNC:9059	MONDO:0000107|MONDO:0013845
HGNC:9051	MONDO:0012872|MONDO:0018810
HGNC:9052	MONDO:0011136
HGNC:21732	MONDO:0009229|MONDO:0016071|MONDO:0016331
HGNC:9082	MONDO:0017195|MONDO:0012217
HGNC:9066	MONDO:0013944|MONDO:0013766
HGNC:9067	MONDO:0008913
HGNC:9069	MONDO:0007145|MONDO:0007555|MONDO:0009181|MONDO:0012807|MONDO:0013390
HGNC:9060	MONDO:0007900|MONDO:0016557
HGNC:9035	MONDO:0018765|MONDO:0018794
HGNC:9038	MONDO:0009235
HGNC:9039	MONDO:0024457|MONDO:0012444|MONDO:0013060
HGNC:21708	MONDO:0031037|MONDO:0011304
HGNC:9043	MONDO:0060502
HGNC:9045	MONDO:0008401|MONDO:0030118
HGNC:9046	MONDO:0020525
HGNC:9040	MONDO:0013663
HGNC:9006	MONDO:0020378|MONDO:0007138|MONDO:0012527|MONDO:0015567
HGNC:21876	MONDO:0000023|MONDO:0032844
HGNC:9142	MONDO:0008740
HGNC:9143	MONDO:0020493|MONDO:0008852|MONDO:0013082
HGNC:9141	MONDO:0008290|MONDO:0019141
HGNC:9115	MONDO:0008907
HGNC:9107	MONDO:0008006|MONDO:0018072
HGNC:9122	MONDO:0005835|MONDO:0030843|MONDO:0010159|MONDO:0013699
HGNC:9117	MONDO:0033135
HGNC:9118	MONDO:0007790|MONDO:0007309|MONDO:0007311|MONDO:0008392|MONDO:0008087
HGNC:9119	MONDO:0054785
HGNC:9177	MONDO:0032684|MONDO:0013873|MONDO:0014058|MONDO:0018653
HGNC:9171	MONDO:0017279|MONDO:0018321
HGNC:9173	MONDO:0010523|MONDO:0015601
HGNC:9187	MONDO:0032829
HGNC:21869	MONDO:0021548|MONDO:0008922|MONDO:0013859
HGNC:9180	MONDO:0008003|MONDO:0032799|MONDO:0012415
HGNC:9181	MONDO:0010214
HGNC:21862	MONDO:0018770|MONDO:0014214|MONDO:0019664
HGNC:21863	MONDO:0012794
HGNC:9153	MONDO:0700089|MONDO:0700088
HGNC:9154	MONDO:0100062|MONDO:0011570|MONDO:0013254|MONDO:0014557
HGNC:21839	MONDO:0018430
HGNC:9179	MONDO:0024528|MONDO:0008003|MONDO:0008758|MONDO:0009783|MONDO:0016810|MONDO:0011835|MONDO:0013350|MONDO:0016809|MONDO:0017575|MONDO:0019791
HGNC:9175	MONDO:0014157|MONDO:0018653
HGNC:9210	MONDO:0013099|MONDO:0024464|MONDO:0008250|MONDO:0016411
HGNC:9205	MONDO:0004976
HGNC:9206	MONDO:0004976
HGNC:9208	MONDO:0008803|MONDO:0008726|MONDO:0013310
HGNC:9220	MONDO:0019587|MONDO:0011226
HGNC:21904	MONDO:0032764
HGNC:9216	MONDO:0032830
HGNC:9217	MONDO:0010779|MONDO:0010558|MONDO:0010576
HGNC:9201	MONDO:0012335
HGNC:9202	MONDO:0000171|MONDO:0009364|MONDO:0012248|MONDO:0013159|MONDO:0018278|MONDO:0018277|MONDO:0018279|MONDO:0018939
HGNC:9137	MONDO:0054844|MONDO:0016396
HGNC:9204	MONDO:0004976
HGNC:21957	MONDO:0012721
HGNC:16067	MONDO:0032879
HGNC:16068	MONDO:0008872
HGNC:16063	MONDO:0018874
HGNC:16066	MONDO:0044718
HGNC:16050	MONDO:0015802|MONDO:0030030
HGNC:16075	MONDO:0015799|MONDO:0014087
HGNC:16088	MONDO:0014261
HGNC:16084	MONDO:0014788
HGNC:16035	MONDO:0019588|MONDO:0011364
HGNC:16031	MONDO:0017992
HGNC:16001	MONDO:0009283
HGNC:16002	MONDO:0018053|MONDO:0021013
HGNC:16053	MONDO:0010029
HGNC:16187	MONDO:0024537
HGNC:16197	MONDO:0009627|MONDO:0033008
HGNC:16175	MONDO:0008798
HGNC:16171	MONDO:0020378|MONDO:0011547|MONDO:0018610
HGNC:16192	MONDO:0014479|MONDO:0019212
HGNC:16110	MONDO:0011252
HGNC:16133	MONDO:0016649|MONDO:0014296
HGNC:16135	MONDO:0032842
HGNC:16287	MONDO:0011582
HGNC:16297	MONDO:0013164
HGNC:16232	MONDO:0012992
HGNC:16235	MONDO:0008083
HGNC:16205	MONDO:0014039
HGNC:16266	MONDO:0011841|MONDO:0011841|MONDO:0016981|MONDO:0016815
HGNC:16262	MONDO:0007355
HGNC:16243	MONDO:0008647
HGNC:16255	MONDO:0013485|MONDO:0017893
HGNC:16257	MONDO:0015372|MONDO:0013141
HGNC:16252	MONDO:0014961
HGNC:16268	MONDO:0008935|MONDO:0008980|MONDO:0009514|MONDO:0010152|MONDO:0012787
HGNC:16353	MONDO:0100343|MONDO:0010503
HGNC:16384	MONDO:0019004
HGNC:16356	MONDO:0010168|MONDO:0011748
HGNC:16393	MONDO:0054697|MONDO:0014081|MONDO:0014645
HGNC:16391	MONDO:0008905
HGNC:16361	MONDO:0019588|MONDO:0011767|MONDO:0012662|MONDO:0016484
HGNC:16378	MONDO:0019588|MONDO:0011762
HGNC:16429	MONDO:0013762
HGNC:16438	MONDO:0005321|MONDO:0009019|MONDO:0009015|MONDO:0013204
HGNC:16400	MONDO:0018768|MONDO:0007849|MONDO:0007349|MONDO:0008633|MONDO:0033261|MONDO:0011776
HGNC:16404	MONDO:0015279
HGNC:16412	MONDO:0014472
HGNC:16421	MONDO:0033544
HGNC:16369	MONDO:0017279|MONDO:0011658
HGNC:16380	MONDO:0015229|MONDO:0009683
HGNC:16466	MONDO:0016642|MONDO:0018772|MONDO:0007959|MONDO:0007187|MONDO:0033309
HGNC:16472	MONDO:0011683
HGNC:16473	MONDO:0016575|MONDO:0012571
HGNC:16446	MONDO:0008251|MONDO:0011269
HGNC:16499	MONDO:0019181|MONDO:0010709|MONDO:0010289
HGNC:16493	MONDO:0060596|MONDO:0032855
HGNC:16510	MONDO:0019502
HGNC:16512	MONDO:0019588|MONDO:0011242|MONDO:0019524
HGNC:16513	MONDO:0019588|MONDO:0019587|MONDO:0010967|MONDO:0011708
HGNC:16517	MONDO:0008788
HGNC:16627	MONDO:0002629|MONDO:0012233
